Longitud,Latitud,Valor
-68.59640,-21.90530,4.00000
-68.53640,-21.93330,6.20000
-68.51750,-21.94280,3.70000
-68.72390,-21.95000,6.00000
-68.31280,-21.97060,4.40000
-68.02890,-22.01390,2.60000
-68.62420,-22.02500,2.80000
-68.62080,-22.02670,2.70000
-68.06610,-22.02780,6.20000
-70.18970,-22.07970,0.80000
-68.31670,-22.11470,3.20000
-68.02280,-22.22970,11.40000
-68.28810,-22.24080,5.00000
-68.17330,-22.25920,6.00000
-68.31830,-22.27530,2.90000
-68.20280,-22.28560,5.90000
-68.34470,-22.28940,6.00000
-68.21220,-22.33670,6.60000
-68.63670,-22.33780,1.80000
-68.01330,-22.37110,11.30000
-69.62250,-22.39390,0.30000
-68.90440,-22.44940,2.20000
-68.16580,-22.65220,7.70000
-69.32190,-22.88920,0.40000
-68.20030,-22.90530,3.60000
-67.99780,-23.18890,4.40000
-68.00940,-23.19360,5.40000
-67.88780,-23.31250,13.40000
-69.83970,-23.33360,-10.10000
-67.96310,-23.40690,7.00000
-67.89250,-23.58690,8.80000
-70.38670,-23.59750,3.70000
-68.05810,-23.68420,4.90000
-69.96330,-25.40000,5.70000
-70.48190,-25.40470,9.20000
-69.66560,-26.67810,27.10000
-70.81560,-27.06920,13.30000
-69.56420,-27.11420,25.00000
-70.33080,-27.37720,15.80000
-70.19530,-27.71670,24.90000
-70.12690,-27.80440,17.00000
-70.11190,-27.83170,29.40000
-69.75500,-27.83640,38.80000
-70.95750,-27.90220,27.00000
-70.00330,-27.97830,31.80000
-70.78110,-28.09920,30.40000
-69.97500,-28.13360,40.50000
-69.88080,-28.15720,48.60000
-71.22140,-28.46690,39.90000
-71.19310,-28.47250,35.10000
-71.08060,-28.50720,36.20000
-70.80810,-28.57610,36.50000
-70.73970,-28.58610,35.50000
-70.66250,-28.66720,42.20000
-70.50670,-28.73060,23.20000
-70.48170,-28.75390,46.10000
-70.28220,-28.87310,40.20000
-70.46140,-28.93110,51.70000
-70.11060,-28.95190,58.70000
-70.89360,-28.95440,39.10000
-70.15330,-28.97500,79.30000
-70.19860,-28.97970,60.90000
-70.18810,-28.98170,63.90000
-70.37780,-29.13830,53.60000
-71.11810,-29.37310,44.40000
-70.38470,-29.84780,55.30000
-71.25560,-29.90610,82.40000
-70.09440,-29.97690,90.20000
-70.56170,-29.97720,91.40000
-70.91860,-29.98220,81.70000
-70.58670,-29.99530,72.10000
-71.25920,-30.00220,109.10000
-70.71670,-30.05670,87.60000
-70.49390,-30.08940,69.20000
-70.49330,-30.12170,97.20000
-70.40470,-30.14140,90.90000
-70.49830,-30.14720,119.70000
-70.48190,-30.19390,134.50000
-70.04220,-30.20330,128.80000
-70.69610,-30.28670,117.10000
-70.61310,-30.36940,118.20000
-70.86780,-30.39220,112.90000
-70.93860,-30.40940,99.40000
-70.55440,-30.41110,130.70000
-71.06670,-30.48060,130.60000
-71.09970,-30.50690,103.50000
-71.20000,-30.60060,100.90000
-71.37420,-30.61640,115.90000
-71.11940,-30.63060,112.00000
-70.96080,-30.69140,136.60000
-71.03610,-30.69580,128.40000
-70.91780,-30.70250,107.50000
-70.77530,-30.72110,155.20000
-70.59390,-30.80580,201.80000
-70.97060,-30.81780,141.10000
-71.25000,-30.82780,144.70000
-70.70780,-30.85390,183.70000
-70.77080,-30.85470,184.70000
-71.30750,-30.88830,192.50000
-70.65110,-30.89330,223.60000
-71.55030,-30.90000,146.30000
-70.76390,-30.96690,200.80000
-71.08560,-31.00780,160.00000
-70.58110,-31.01170,187.80000
-70.66640,-31.01530,239.50000
-70.58580,-31.01810,260.70000
-70.95000,-31.08360,171.70000
-71.00080,-31.17360,193.40000
-71.45690,-31.39860,141.40000
-70.82110,-31.53310,181.80000
-70.83530,-31.55030,198.90000
-70.98170,-31.56690,188.30000
-71.44530,-31.58750,157.70000
-71.19080,-31.64500,156.10000
-71.25470,-31.66470,97.50000
-70.71580,-31.69580,135.80000
-70.83170,-31.72890,220.60000
-71.16190,-31.74500,162.50000
-71.10000,-31.75330,225.70000
-70.96690,-31.77580,215.50000
-70.60000,-31.81670,91.90000
-70.67060,-31.90000,225.00000
-70.77080,-31.90190,277.30000
-71.50860,-31.91030,216.80000
-71.13610,-31.93220,237.70000
-70.61330,-31.93360,237.40000
-71.07470,-31.94810,180.40000
-70.59440,-31.96670,183.60000
-71.15220,-32.03140,330.30000
-71.30720,-32.06080,294.40000
-71.22250,-32.06750,220.30000
-71.40610,-32.06860,292.00000
-70.80000,-32.08360,234.50000
-71.31250,-32.10860,216.20000
-71.50000,-32.11750,247.60000
-71.16280,-32.14440,262.40000
-71.03000,-32.15670,247.10000
-71.37220,-32.17280,302.70000
-70.78330,-32.18360,194.00000
-70.83940,-32.21500,179.20000
-70.71190,-32.22530,106.80000
-70.60440,-32.22560,249.00000
-70.78390,-32.22610,183.20000
-70.71000,-32.22860,207.20000
-71.13860,-32.25280,231.20000
-70.99970,-32.27560,179.20000
-70.98890,-32.27860,114.30000
-71.07920,-32.30580,217.80000
-71.24250,-32.30750,238.40000
-70.73810,-32.33000,138.60000
-70.75280,-32.34080,242.40000
-71.09310,-32.39140,235.70000
-71.37500,-32.39190,251.00000
-70.68080,-32.41860,271.80000
-70.91670,-32.42610,212.60000
-71.06060,-32.42670,229.50000
-71.20670,-32.43720,239.30000
-70.93190,-32.48560,217.00000
-70.57890,-32.49890,262.90000
-70.58110,-32.50170,180.10000
-71.12940,-32.53330,296.50000
-70.70000,-32.56690,210.10000
-70.86940,-32.58640,275.50000
-71.43220,-32.59190,242.90000
-71.19640,-32.65310,298.50000
-70.60000,-32.68360,205.80000
-70.93420,-32.73440,219.40000
-70.72470,-32.74720,185.20000
-70.73670,-32.75720,135.80000
-71.26530,-32.81190,359.10000
-70.60000,-32.83360,237.90000
-71.02560,-32.84030,191.10000
-70.50940,-32.85030,201.70000
-71.11670,-32.85060,349.40000
-70.47190,-32.86030,304.40000
